Customer_ID,Order_ID,Gender,Customer_DOB,Ordered_Date,Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Discount_offered,Weight_in_gms,Reached_on_Time_Y_N
C004858,ABDA000001,M,26-11-1990,01-01-2018,B,Ship,4,5,152,3,medium,5,5191,0
C005039,ABDA000002,M,29-03-1967,01-01-2018,C,Ship,6,1,264,4,low,10,1960,0
C005824,ABDA000003,M,12-09-1971,01-01-2018,B,Ship,3,5,248,2,high,3,5287,1
C006668,ABDA000004,M,28-02-1983,01-01-2018,F,Ship,3,3,152,2,medium,3,4193,1
C006711,ABDA000005,F,30-12-1987,01-01-2018,A,Flight,4,3,238,2,medium,2,5328,0
C007480,ABDA000006,F,29-07-1992,01-01-2018,B,Ship,4,5,273,5,medium,7,1409,0
C007821,ABDA000007,F,23-04-1988,01-01-2018,A,Flight,4,5,265,2,medium,9,5135,1
C008724,ABDA000008,F,24-02-1970,01-01-2018,F,Ship,5,3,255,4,low,5,5870,0
C008914,ABDA000009,M,09-01-1986,01-01-2018,B,Flight,6,2,288,4,medium,9,1405,1
C009465,ABDA000010,F,14-02-1976,01-01-2018,A,Flight,5,2,233,3,medium,10,4233,1
C009773,ABDA000011,F,01-09-1965,01-01-2018,C,Ship,2,1,234,4,medium,9,5075,0
C009811,ABDA000012,F,22-06-1965,01-01-2018,D,Ship,3,1,232,2,low,3,4562,1
C010340,ABDA000013,F,22-04-1965,01-01-2018,F,Ship,4,5,265,2,low,6,4660,1
C010477,ABDA000014,F,06-09-1980,01-01-2018,D,Ship,4,2,223,5,medium,8,1559,1
C000525,ABDA000015,M,14-01-1991,02-01-2018,A,Road,5,2,154,3,low,40,1238,1
C001074,ABDA000016,M,14-10-1971,02-01-2018,F,Road,3,1,148,2,medium,34,1053,1
C005547,ABDA000017,F,11-07-1977,02-01-2018,A,Ship,3,2,148,2,low,1,4133,1
C006315,ABDA000018,F,03-05-1967,02-01-2018,A,Flight,5,1,303,5,medium,9,1203,0
C006456,ABDA000019,M,28-09-1993,02-01-2018,F,Flight,5,2,161,3,low,8,5804,1
C008906,ABDA000020,M,30-07-1965,02-01-2018,F,Flight,5,3,238,5,low,1,1871,1
C009262,ABDA000021,M,12-01-1972,02-01-2018,B,Ship,4,3,213,3,medium,2,5432,1
C010341,ABDA000022,M,11-10-1983,02-01-2018,A,Ship,6,5,287,5,low,2,5611,1
C002437,ABDA000023,F,03-11-1991,03-01-2018,D,Ship,3,1,169,2,medium,19,1183,1
C005556,ABDA000024,F,26-02-1991,03-01-2018,F,Ship,5,1,106,5,medium,4,4180,0
C007741,ABDA000025,F,14-07-1984,03-01-2018,D,Ship,6,1,254,4,low,2,1071,0
